,dataset,method,k1,k2,ObjVal_Train,ObjVal_Test,Time_Elapsed,N_Iter
312,2,combined_CCA,3,3,0.955915536040272,0.9586383947384516,0.2797012329101562,-1
313,2,combined_CCA,3,3,0.9552656273532736,0.9618700591445756,0.2500998973846435,-1
314,3,greedy_CCA,3,3,0.4583385849060833,0.3636033510418029,0.1668996810913086,-1
315,3,greedy_CCA,3,3,0.4794820431399628,0.2882898875764817,0.1674132347106933,-1
316,3,greedy_CCA,3,3,0.4549104731384379,0.3636268883378533,0.1659398078918457,-1
317,3,greedy_CCA,3,3,0.4440115077659354,0.3667418877703273,0.1685755252838134,-1
318,3,greedy_CCA,3,3,0.4376297373963027,0.4312112089145905,0.167041540145874,-1
319,3,CCA_without,3,3,0.461041252616692,0.327572145516905,1000.018384218216,-1
320,3,CCA_without,3,3,0.4971266515070603,0.2075679342823677,1000.021420955658,-1
321,3,CCA_without,3,3,0.4685015988464469,0.352610947927398,1000.0160620212556,-1
322,3,CCA_without,3,3,0.4601378797455523,0.2987905245183985,1000.0190272331238,-1
323,3,CCA_without,3,3,0.4477261362886314,0.3218899490864725,1000.016119003296,-1
324,3,CCA_with,3,3,0.4518945345498225,0.3419913830446192,100.103342294693,1
325,3,CCA_with,3,3,0.4784121377738528,0.279545256302052,100.10383868217468,1
326,3,CCA_with,3,3,0.4685011127137722,0.3528421023403995,100.10070896148682,1
327,3,CCA_with,3,3,0.4599388168666709,0.3012858646739556,100.10780715942384,1
328,3,CCA_with,3,3,0.4477263451847762,0.3220370376726142,100.28015542030334,3
329,3,multistart_CCA,3,3,0.4610247221414229,0.3268775138543715,14.771025657653809,-1
330,3,multistart_CCA,3,3,0.4970940802288281,0.2062412839562947,16.528764486312866,-1
331,3,multistart_CCA,3,3,0.4716862476962948,0.2931717760837207,9.532908201217651,-1
332,3,multistart_CCA,3,3,0.4600889740164194,0.2996481736326966,10.349205493927002,-1
333,3,multistart_CCA,3,3,0.448139830852841,0.3469376173451969,18.573280572891235,-1
334,3,benders_CCA_without,3,3,0.4610240780568673,0.3289906603366574,1001.9287419319152,1015
335,3,benders_CCA_without,3,3,0.4971290235737398,0.2080222710000757,1001.1833817958832,995
